tarih,derece,yorum
2022-04-25,5,Gayet güzel bir ürün hızlı teslimat hemen çözmeye başladım sorulae kaliyeli benim hocam kalitesi
2022-01-18,5,Teşekkürler hızlı kargo hepsi burada farkı
2022-02-03,5,Çok iyi hazırlanmış denemeler
2022-04-24,5,Benim hocam yayınları harika
2022-04-11,5,Herkesin sınava girmeden önce çözmesini tavsiye ediyorum. Sınav soruları dolaylarında güncel olarak hazırlandığı ortada.
2022-01-27,5,Hızlı geldi. Herhangi bir sorun çıkmadı.
2022-04-18,5,Çok iyi tam sınav tarzında
2022-04-29,5,Sorular kaliteli ve güzel
2022-04-30,5,Hızlı kargo tesekkürler
2022-02-07,5,Ürün güzel . Haritalarla tarih kitabı biraz kargoda zarar görmüş yırtılmış arka kapağı.
2021-10-01,5,Gerçekten çok teşekkür ederim. Kitap iyi bir şekilde muhafaza edilmişti. Kartta yazılı güzel sözleriniz için teşekkürler... Hayırlı işler dilerim
2022-01-23,5,"Cok guzel bir kitap,kagit kalitesi harika parlak kuse kagit.kitap sonunda uygulamalar mevcut.baska kaynaga kesinlikle gerek yok bence.birde icerisinde hediyesi turkiye haritasi cikti.teskkurler hepsi burada tesekkurler benim hocam.."
2022-04-26,5,"hızlı teslimat ve güzel, kaliteli basım.. inşallah 2022 kpss bizim için iyi geçsin :)"
2022-02-10,3,Başım hatası var onun dışında kitap içeriği çok güzel
2022-02-17,5,Video ders notlarından daha büyük. Fiziki olarak çok kaliteli içeriğine daha başlamadım. Coğrafya bilgim dağların denizlere nerde paralel olduğunu bile bilmeme seviyesinde. İnşallah yardımcı olur. Hızlı ve sorunsuz teslimat yapıldı.
2022-01-20,5,Paketlenmesi güzeldi sağlam geldi. Bu kitabı bilmeyen yoktur zaten harita hediyeli olması aldı güzel. Satıcıya özenli paketlemesinden dolayı teşekkürler
2022-04-19,5,Kpss çalışan arkadaşlar hiç düşünmeden alabilirsiniz ürün çok iyi ve hızlı özenle paketlenmişti
2021-10-26,5,"Harika bir kitap, harita hediyesi extra mutlu edici"
2022-03-22,5,Kitap güzel fakat kargo paketi yırtık bir şekilde geldi.
2022-03-07,5,İçerik güzel hemen geldi çözmeye başladım gayet kaliteli sorular var ÖSYM tarzında
2022-03-31,5,Kargo hızlıydı. Paketlemside çok iyiydi.
2022-04-19,5,"Kaliteli yayın, kaliteli sorular. Sınava girmeden önce mutlaka çözülmesi gereken bir soru bankası."
2022-04-27,3,Kitabın sag ust kenarları kıvrık ve yıpranmış geldi. Kapagi da kırılmış. Baya ikinci el gibi. Mecbur olduğum için iade etmeyeceğim. Biraz dikkat biraz özen gösterseydiniz keşke.
