tarih,derece,yorum
2022-03-16,4,"paketleme koyduğum fotoğraftaki gibi güzeldi, ürün biraz kaygan yeni olduğu içindir sanırım şu an güzel duruyor f/p ürünü"
2022-05-09,4,Ürünün paketlemesi çok iyiydi. Kartlara gelicek olursak kağıt yerine plastik bir malzemeden yapılmış gibi. Biraz da kaygan. Elinize aldığınızda belli ediyor plastik olduğu.
2022-03-08,5,"standardin uzerinde bir kalitede, uzun sure oynanilabilecek deste arayanlara tavsiyedir. f/p urunu."
2022-03-16,5,Çok hızlı. Süper ürün
2022-04-09,5,Kalite mükemmel. Piyon terfisi için verilen ekstra vezirler çok düşünceli. Keçeler ve yanında gönderilen üstüne kale çizili tahta parçası beni çok mutlu etti. Tahta kaliteli malzeme ve verilen boyutlar birebir. Kuşkunuz varsa kalmasın.
2022-01-20,5,"Kargo kısa sürede geldi.özenli paketleme yapılmıştı.Taşlar büyük, ağır ve istediğimiz gibi.Altlarında da kaymasını önlemek için keçe var.Tahtası büyük ve parlak. Tahta kenarlarının keskinliği biraz alınsa iyi olurdu."
2021-05-05,5,Kargo hasarlı gelse de çok iyi paketlenmiş olması sebebiyle hasarsız atlattık. Köşelere ek paketleme yapılmış. Sağ olsunlar. Satranç takimi çok iyi. Büyük boyutlarda. Esktra vezirlerinin olması guzel. Fiyat performansı çok iyi.
2022-04-14,5,Yedek vezirleriyle birlikte harika br takım. Kargolaması da çok iyiydi. 3bin tl vermeye gerek yok. İyi ki almışız. Güvenle alabilirsiniz
2021-05-08,4,Ürün güzel beyaz taşları beyaz değil de krem gönderselerdi daha güzel olacaktı. Taşların ağırlığı sesi duruşu felan güzel.
2022-02-21,5,Harika cok begendik.bazi yorumlarda tahta kenari keskin denilmis ama bizde oyle bi sorun yok. Taşlar yeterli agirlikta ve tahta buyuklugu cok ideal. Parasini sonuna kadar hak ediyor
2022-05-05,5,Açıkçası alırken ebatlarına çok dikkat etmemiştim gelince şaşırdım baya büyük  görüş çok rahat kullanırken kaliteyi hissettiriyor başarılı
2022-03-02,5,Kaliteli malzemeden yapılmış almak isteyenler gönül rahatlığıyla alabilir
2022-04-01,5,fiyat perf olarak bakılırsa güzel bir ürün hem boyut hem taşları
2022-03-09,5,paketleme çok iyi. ürünler görseldekinden daha kaliteli ve güzel.
