,kategori,kategori_kod
0,kitaplar,2147483645.0
1,muzik,2147483641.0
2,drone-multikopter,60006033.0
3,hobi-eglence-urunleri,2147483605.0
4,filmler,2147483640.0
5,muzik,2147483641.0
6,dijital-urunler,80753000.0
7,on-odemeli-kart,80327167.0
8,kisisel-gelisim-kitaplari-kitaplari,9925.0
9,arastirma-inceleme,1501689.0
10,akademik-kitaplar,15033031.0
11,din-ve-mitoloji,80196010.0
12,aile-kitaplari,60001735.0
13,hobi-kitaplari,215402.0
14,ithal-kitaplar,15039802.0
15,is-ekonomi-pazarlama,80196011.0
16,saglik-spor-ve-diyet,80196007.0
17,cizgi-roman-mizah,80196009.0
18,yemek-gurme-icecek-kitaplari,9992.0
19,sesli-kitaplar,60001648.0
20,dergiler,10004.0
21,gitarlar,19018196.0
22,orglar,19018195.0
23,piyanolar,402326.0
24,bateriler,411206.0
25,kulakliklar,405158.0
26,yayli-calgilar,411237.0
27,telli-calgilar,60001365.0
28,nefesli-calgilar,411209.0
29,vurmali-calgilar,400250.0
30,muzik-amfileri,403911.0
31,profesyonel-muzik-ses-sistemler,60001362.0
32,muzik-ekipman-aksesuarlari,411138.0
33,mikrofonlar,405134.0
34,pikaplar,406932.0
35,akordiyonlar,408010.0
36,dji/drone-multikopter,60006033.0
37,corby/drone-multikopter,60006033.0
38,aden/drone-multikopter,60006033.0
39,uzaktan-kumandali-arabalar,14001244.0
40,drone-multikopter,60006033.0
41,puzzle-yapbozlar,1201902.0
42,oyun-takimlari,1201472.0
43,oyunlar-oyun-konsollari,2147483602.0
44,akil-oyunlari,60002721.0
45,kutu-oyunlari,10283.0
46,maketler,60001092.0
47,model-arac-cesitleri,60001091.0
48,etkinlikler,80519048.0
49,yabanci-filmler,10007286.0
50,yerli-filmler,178174.0
51,belgesel-filmleri,177407.0
52,animasyon-cizgi-filmler,10007302.0
53,egitim-saglik-filmleri,176839.0
54,spor-yoga-hobi-dvd-setleri,177278.0
55,muzik-sahne-filmleri,10007318.0
56,film-figur-aksesuarlari,10005596.0
57,poster,10007953.0
58,,
59,,
60,muzik-albumleri,60000822.0
61,muzikal-hediyelikler,60002524.0
62,poster,10796.0
63,,
64,,
65,edebiyat-kitaplari,1501753.0
66,cocuk-kitaplari,9914.0
67,egitim-kitaplari,15033037.0
68,online-egitim,60002402.0
69,hediye-kartlari,80755018.0
70,film-dizi-yayin-paketleri,80755002.0
71,oyun-pinleri,80755000.0
72,yeme-icme,80755019.0
73,dijital-oyunlar,80755001.0
74,eglence,80755003.0
75,online-egitim,80755013.0
76,roman-kitaplari,1501702.0
77,deneme-inceleme-kitaplari,9904.0
78,fantastik-kitaplar,1501713.0
79,ask-roman-kitaplari,1501708.0
80,korku-gerilim-kitaplari,1501715.0
81,turk-edebiyatlari,1501764.0
82,dunya-edebiyati,1501757.0
83,oyku-kitaplari,9905.0
84,aktivite-egitici-kitaplar,80224072.0
85,cocuklar-icin-masallar,9928.0
86,cocuklar-icin-roman,9927.0
87,bebek-kitaplari,80690017.0
88,ders-kitaplari-yardimci-kitaplar,213862.0
89,ders-sinav-kitaplari,213021.0
90,kpss-kitaplari,234456.0
91,ales-kitaplari,234464.0
92,dgs-kitaplari,234462.0
93,yds-kitaplari,1503568.0
94,yks,80298195.0
95,lgs,80371041.0
96,bilgisayar-kitaplari,9934.0
97,yabanci-dil-kitaplari,214049.0
98,,
99,,
100,,
101,,
102,laptop-notebook-dizustu-bilgisayarlar,98.0
103,tablet,3008012.0
104,masaustu-bilgisayarlar,34.0
105,oyuncular-ozel-bilgisayar-bilesenleri,86008.0
106,veri-depolama-urunleri,3013121.0
107,bilgisayarlar,2147483646.0
108,bilgisayar-parcalari,8.0
109,,
110,ag-modemler,3013122.0
111,cevre-birimleri,3013120.0
112,yazilim-urunleri,41.0
113,bilgisayar-aksesuarlari,42.0
114,kulakliklar,520.0
115,yazicilar,3013118.0
116,sarf-malzemeleri,3013119.0
117,yazicilar,3013118.0
118,projeksiyon-cihazlari,15530.0
119,projeksiyon-sistemleri,285390.0
120,,
121,cep-telefonlari,371965.0
122,cep-telefonu-aksesuarlari,371967.0
123,akilli-saatler,60003676.0
124,akilli-bileklikler,60004670.0
125,tasinabilir-pilli-sarj-cihazlari,60004584.0
126,bluetooth-kulakliklar,16218.0
127,cep-telefonu-kiliflari,16102.0
128,ekran-koruyucu,80315023.0
129,sarj-cihazlari,16113.0
130,telefon-kablolari,29010123.0
131,tasinabilir-hoparlorler,376097.0
132,selfie-ozcekim-cubuklari,60005237.0
133,telsiz-masaustu-telefonlar,371966.0
134,,
135,led-tv-televizyonlar,163192.0
136,ev-sinema-sistemleri,152492.0
137,bluetooth-hoparlorler,60004557.0
138,muzik-sistemleri,17499.0
139,projeksiyon-sistemleri,285390.0
140,ses-goruntu-sistemleri,17201.0
141,uydu-alicilari,155057.0
142,,
143,dvd-blu-ray-oynaticilar,155124.0
144,kablo-soketler,157410.0
145,tv-aksesuarlari,8003673.0
146,guvenlik-sistemleri,161719.0
147,media-player,80271010.0
148,kablosuz-ses-goruntu-aktaricilar,17343.0
149,camasir-makineleri,155121.0
150,buzdolaplari,22154.0
151,bulasik-makineleri,22156.0
152,kurutma-makineleri,153223.0
153,kurutmali-camasir-makinesi,80813000.0
154,su-sebilleri,236214.0
155,derin-dondurucular,22266.0
156,ocaklar,22026.0
157,ankastre-setler,234329.0
158,firinlar,22016.0
159,mikrodalga-firinlar,22021.0
160,davlumbazlar,22006.0
161,beyaz-esya-bakim-urunleri,60004956.0
162,beyaz-esya-ankastreler,235604.0
163,klimalar,17453.0
164,kombiler,17723.0
165,sofbenler,17434.0
166,termosifonlar,17769.0
167,vantilatorler,17412.0
168,sobalar-isiticilar,8001872.0
169,,
170,isitma-sogutma-urunleri,161876.0
171,utuler,155122.0
172,supurgeler,155123.0
173,robot-supurge,80160033.0
174,erkek-tiras-urunleri,26012116.0
175,sac-sekillendirme-cihazlari,26012129.0
176,elektrikli-mutfak-aleti-yedek-parca-aksesuarlari,80168015.0
177,epilasyon-agda,80216049.0
178,elektrikli-ev-aletleri,17071.0
179,elektrikli-mutfak-aletleri,22001.0
180,elektrikli-mutfak-aletleri,22001.0
181,elektrikli-mutfak-aletleri,22001.0
182,elektrikli-mutfak-aletleri,22001.0
183,hava-temizleme-nem-alma-cihazlari,17175.0
184,elektrikli-mutfak-aletleri,22001.0
185,blenderlar,22003.0
186,tost-makineleri,22014.0
187,slr-fotograf-makineleri,1100301.0
188,dijital-fotograf-makineleri,248.0
189,aksiyon-kameralari,22018092.0
190,outdoor-sualti-fotograf-makineleri,60003581.0
191,drone-multikopter,60006033.0
192,fotograf-makinesi-aksesuarlari,60000190.0
193,aynasiz-kompakt-slr-makineler,60002029.0
194,video-kameralar,17076.0
195,elektronik-optik-gps-durbunler,22007482.0
